VIN,predicted price,Stock #,Cab Type,Drivetrain,Rear Wheels,Fuel Type,Transmission,Color,Vehicle Trim
3C63R3LL6LG155086,33803.17,RM21338,Mega,4x4,SRW,Diesel,Aisin 6-Speed Automatic,Blue,Big Horn
3C63RRHL7MG537818,46491.17,RM211115,Crew,4x4,DRW,Diesel,Aisin 6-Speed Automatic,Silver,Big Horn
3C6MR5AJ1LG267683,44075.67,RM23582,Regular,4x4,SRW,Gasoline,8-Speed Automatic,Gray,Tradesman
1C6RR6KT7JS193137,44763.67,TV9166,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,Express
3C63RRJL6MG537805,45741.83,RM211336,Crew,4x4,DRW,Diesel,Aisin 6-Speed Automatic,White,Laramie
1FTEW1CP2HKC64100,44075.67,PV8719,SuperCrew,4x2,SRW,Gasoline,6-Speed Automatic Electronic,White,XLT
3C63RRJL6MG538307,52811.67,RM211179,Crew,4x4,DRW,Diesel,6-Speed Automatic,White,Laramie
3C6UR5DLXMG502743,52811.67,RM210588,Crew,4x4,SRW,Diesel,6-Speed Automatic,White,Big Horn
3C63RRJL4MG538306,52811.67,RM211100,Crew,4x4,DRW,Diesel,6-Speed Automatic,White,Laramie
1C6RREFT4KN761090,39452.0,TV9130,Crew,4x2,SRW,Gasoline,8-Speed Automatic,White,Big Horn/Lone Star
3C63R3AJ7LG260902,44075.67,RM23590,Regular,4x4,SRW,Gasoline,8-Speed Automatic,Gray,Tradesman
1C6SRFRTXKN768810,51303.33,TV9139,Crew,4x4,SRW,Gasoline,8-Speed Automatic,Off-white,Laramie
1C6RREBT9LN252586,34390.33,PV8734,Quad,4x2,SRW,Gasoline,8-Speed Automatic,White,Big Horn/Lone Star
3C6UR5DL0MG502752,52811.67,RM210614,Crew,4x4,SRW,Diesel,6-Speed Automatic,Black,Big Horn
3GCPCPEC9JG421844,38053.17,TV9244,Crew,4x2,SRW,Gasoline,6-Speed Automatic Electronic with Overdrive,Black,Custom
3C6UR5DL5MG502746,52811.67,RM210585,Crew,4x4,SRW,Diesel,6-Speed Automatic,Black,Big Horn
1FTFW1RG2LFA17351,51523.83,TV9067,SuperCrew,4x4,SRW,Gasoline,10-Speed Automatic,Gray,Raptor
3C6UR5GL0MG502780,52811.67,RM210589,Crew,4x4,SRW,Diesel,6-Speed Automatic,White,Laramie Longhorn
3C6UR5DL7MG502747,52811.67,RM210586,Crew,4x4,SRW,Diesel,6-Speed Automatic,Black,Big Horn
3C6UR5NLXMG502787,52318.83,RM210624,Mega,4x4,SRW,Diesel,6-Speed Automatic,White,Laramie
3C6MR5AJ4LG266995,44075.67,RM23584,Regular,4x4,SRW,Gasoline,8-Speed Automatic,Black,Tradesman
1C6RR6FT5GS341174,43180.83,TV9206,Quad,4x2,SRW,Gasoline,8-Speed Automatic,Silver,Express
3C63R3RL5MG619414,41239.17,RM211932,Crew,4x4,SRW,Diesel,Aisin 6-Speed Automatic,White,Limited
3C63R3HL8MG570307,52811.67,RM211825,Crew,4x4,SRW,Diesel,6-Speed Automatic,Black,Big Horn
1C6RR6NT4JS147387,38053.17,TV9170,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Gray,Laramie
3C63RRJL8MG538308,52811.67,RM211180,Crew,4x4,DRW,Diesel,6-Speed Automatic,White,Laramie
3C63RRJL0MG537816,45741.83,RM211178,Crew,4x4,DRW,Diesel,Aisin 6-Speed Automatic,Green,Laramie
3C6MR5AJ8LG266997,44075.67,RM23583,Regular,4x4,SRW,Gasoline,8-Speed Automatic,Gray,Tradesman
1C6RREFG3KN751346,39452.0,PV9380,Crew,4x2,SRW,Gasoline,8-Speed Automatic,Black,Big Horn/Lone Star
